,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
15,KEGG_2019_Human,Human immunodeficiency virus 1 infection,1/212,0.0105998955026255,0.0105998955026255,0,0,19788.0,89974.27756224656,AP1M1
16,KEGG_2019_Human,Renin secretion,1/69,0.003449947123837,0.0149997992131669,0,0,19931.0,112996.7391397682,PTGER2
17,KEGG_2019_Human,Inflammatory mediator regulation of TRP channels,1/100,0.0049999330710556,0.0149997992131669,0,0,19900.0,105436.78197328727,PTGER2
18,KEGG_2019_Human,cAMP signaling pathway,1/212,0.0105998955026255,0.0168748379685508,0,0,19788.0,89974.27756224656,PTGER2
19,KEGG_2019_Human,Human cytomegalovirus infection,1/225,0.0112498919790339,0.0168748379685508,0,0,19775.0,88738.27077557483,PTGER2
20,KEGG_2019_Human,Neuroactive ligand-receptor interaction,1/338,0.0168998658265596,0.0202798389918715,0,0,19662.0,80229.79996326564,PTGER2
21,KEGG_2019_Human,Pathways in cancer,1/530,0.0264998334376226,0.0264998334376226,0,0,19470.0,70688.10970701616,PTGER2
22,KEGG_2019_Human,Acute myeloid leukemia,1/66,0.003299948626608,0.0106998604053851,0,0,19934.0,113899.85357353876,RUNX1
23,KEGG_2019_Human,Chronic myeloid leukemia,1/76,0.0037999437281752,0.0106998604053851,0,0,19924.0,111031.8499691117,RUNX1
24,KEGG_2019_Human,Th17 cell differentiation,1/107,0.0053499302026925,0.0106998604053851,0,0,19893.0,104053.753408911,RUNX1
25,KEGG_2019_Human,Tight junction,1/170,0.0084999078692823,0.0111598835581629,0,0,19830.0,94543.49009679438,RUNX1
26,KEGG_2019_Human,Transcriptional misregulation in cancer,1/186,0.0092999029651357,0.0111598835581629,0,0,19814.0,92684.96451050608,RUNX1
27,KEGG_2019_Human,Pathways in cancer,1/530,0.0264998334376226,0.0264998334376226,0,0,19470.0,70688.10970701616,RUNX1
28,KEGG_2019_Human,Bacterial invasion of epithelial cells,1/74,0.0036999446830449,0.0109598702076242,0,0,19926.0,111574.38983110404,CBL
29,KEGG_2019_Human,Chronic myeloid leukemia,1/76,0.0037999437281752,0.0109598702076242,0,0,19924.0,111031.8499691117,CBL
30,KEGG_2019_Human,ErbB signaling pathway,1/85,0.004249939567045,0.0109598702076242,0,0,19915.0,108752.83801948265,CBL
31,KEGG_2019_Human,Ubiquitin mediated proteolysis,1/137,0.0068499188797651,0.0109598702076242,0,0,19863.0,98987.62735269018,CBL
32,KEGG_2019_Human,Insulin signaling pathway,1/137,0.0068499188797651,0.0109598702076242,0,0,19863.0,98987.62735269018,CBL
33,KEGG_2019_Human,Proteoglycans in cancer,1/201,0.0100498985877989,0.0133998647837319,0,0,19799.0,91079.21596609056,CBL
34,KEGG_2019_Human,Endocytosis,1/244,0.0121998870519305,0.0139427280593492,0,0,19756.0,87051.4275316661,CBL
35,KEGG_2019_Human,Pathways in cancer,1/530,0.0264998334376226,0.0264998334376226,0,0,19470.0,70688.10970701616,CBL
36,KEGG_2019_Human,Transcriptional misregulation in cancer,1/186,0.0092999029651357,0.0092999029651357,0,0,19814.0,92684.96451050608,WT1
37,KEGG_2019_Human,p53 signaling pathway,1/72,0.0035999456502131,0.0139362282047116,0,0,19928.0,112131.59838572376,CCND3
38,KEGG_2019_Human,Cell cycle,1/124,0.0061999236097501,0.0139362282047116,0,0,19876.0,101034.04709010696,CCND3
39,KEGG_2019_Human,Measles,1/138,0.0068999185254481,0.0139362282047116,0,0,19862.0,98838.19160389496,CCND3
40,KEGG_2019_Human,Wnt signaling pathway,1/158,0.0078999117225733,0.0139362282047116,0,0,19842.0,96053.2110949472,CCND3
41,KEGG_2019_Human,Cellular senescence,1/160,0.0079999110688441,0.0139362282047116,0,0,19840.0,95793.96509856998,CCND3
42,KEGG_2019_Human,Hippo signaling pathway,1/160,0.0079999110688441,0.0139362282047116,0,0,19840.0,95793.96509856998,CCND3
43,KEGG_2019_Human,JAK-STAT signaling pathway,1/162,0.0080999104202618,0.0139362282047116,0,0,19838.0,95537.86936302872,CCND3
44,KEGG_2019_Human,Focal adhesion,1/199,0.0099498991610159,0.0139362282047116,0,0,19801.0,91286.4288690606,CCND3
45,KEGG_2019_Human,Viral carcinogenesis,1/201,0.0100498985877989,0.0139362282047116,0,0,19799.0,91079.21596609056,CCND3
46,KEGG_2019_Human,Epstein-Barr virus infection,1/201,0.0100498985877989,0.0139362282047116,0,0,19799.0,91079.21596609056,CCND3
47,KEGG_2019_Human,Human T-cell leukemia virus 1 infection,1/219,0.0109498935894162,0.0139362282047116,0,0,19781.0,89299.85161916987,CCND3
48,KEGG_2019_Human,Human papillomavirus infection,1/330,0.0164998674589645,0.0190613905368566,0,0,19670.0,80733.60565076157,CCND3
49,KEGG_2019_Human,PI3K-Akt signaling pathway,1/354,0.0176998626413668,0.0190613905368566,0,0,19646.0,79255.8617626126,CCND3
50,KEGG_2019_Human,Pathways in cancer,1/530,0.0264998334376226,0.0264998334376226,0,0,19470.0,70688.10970701616,CCND3
51,KEGG_2019_Human,Huntington disease,1/193,0.0096499008972596,0.0096499008972596,0,0,19807.0,91920.47679471428,DNAH10
52,KEGG_2019_Human,Transcriptional misregulation in cancer,1/186,0.0092999029651357,0.0092999029651357,0,0,19814.0,92684.96451050608,ETV6
53,KEGG_2019_Human,Cell cycle,1/124,0.0061999236097501,0.0061999236097501,0,0,19876.0,101034.04709010696,STAG2
54,KEGG_2019_Human,Spliceosome,1/134,0.0066999199497742,0.0066999199497742,0,0,19866.0,99442.43560916925,U2AF2
55,KEGG_2019_Human,Central carbon metabolism in cancer,1/65,0.003249949134407,0.0129331582145885,0,0,19935.0,114209.92613860144,FLT3
56,KEGG_2019_Human,Acute myeloid leukemia,1/66,0.003299948626608,0.0129331582145885,0,0,19934.0,113899.85357353876,FLT3
57,KEGG_2019_Human,Hematopoietic cell lineage,1/97,0.0048499343304706,0.0129331582145885,0,0,19903.0,106058.9096435903,FLT3
58,KEGG_2019_Human,Transcriptional misregulation in cancer,1/186,0.0092999029651357,0.0185598242159366,0,0,19814.0,92684.96451050608,FLT3
59,KEGG_2019_Human,Ras signaling pathway,1/232,0.0115998901349604,0.0185598242159366,0,0,19768.0,88101.22480150245,FLT3
60,KEGG_2019_Human,MAPK signaling pathway,1/295,0.0147498749536506,0.0196664999382009,0,0,19705.0,83086.53988020132,FLT3
61,KEGG_2019_Human,PI3K-Akt signaling pathway,1/354,0.0176998626413668,0.0202284144472764,0,0,19646.0,79255.8617626126,FLT3
62,KEGG_2019_Human,Pathways in cancer,1/530,0.0264998334376226,0.0264998334376226,0,0,19470.0,70688.10970701616,FLT3
63,KEGG_2019_Human,Pyrimidine metabolism,1/57,0.002849953326298,0.005699906652596,0,0,19943.0,116875.00742975442,AK9
64,KEGG_2019_Human,Purine metabolism,1/129,0.006449921761047,0.006449921761047,0,0,19871.0,100223.109907462,AK9
65,KEGG_2019_Human,Protein processing in endoplasmic reticulum,1/165,0.0082499094553477,0.0164998189106955,0,0,19835.0,95159.46482222488,BCAP31
66,KEGG_2019_Human,Human papillomavirus infection,1/330,0.0164998674589645,0.0164998674589645,0,0,19670.0,80733.60565076157,BCAP31
67,KEGG_2019_Human,Lysine degradation,1/59,0.0029499522555206,0.0029499522555206,0,0,19941.0,116175.59385530632,NSD1
68,KEGG_2019_Human,Endocytosis,1/244,0.0121998870519305,0.0121998870519305,0,0,19756.0,87051.4275316661,SNX32
69,KEGG_2019_Human,Hippo signaling pathway,1/160,0.0079999110688441,0.0084999078692823,0,0,19840.0,95793.96509856998,AMOT
70,KEGG_2019_Human,Tight junction,1/170,0.0084999078692823,0.0084999078692823,0,0,19830.0,94543.49009679438,AMOT
71,KEGG_2019_Human,Spliceosome,1/134,0.0066999199497742,0.0133998398995484,0,0,19866.0,99442.43560916925,SRSF2
72,KEGG_2019_Human,Herpes simplex virus 1 infection,1/492,0.0245998389796247,0.0245998389796247,0,0,19508.0,72277.44006442746,SRSF2
73,KEGG_2019_Human,Intestinal immune network for IgA production,1/48,0.0023999583567988,0.0102665548346894,0,0,19952.0,120356.5272753826,TGFB1
74,KEGG_2019_Human,Malaria,1/49,0.0024499577795033,0.0102665548346894,0,0,19951.0,119939.1172087114,TGFB1
75,KEGG_2019_Human,Inflammatory bowel disease (IBD),1/65,0.003249949134407,0.0102665548346894,0,0,19935.0,114209.92613860144,TGFB1
76,KEGG_2019_Human,Renal cell carcinoma,1/69,0.003449947123837,0.0102665548346894,0,0,19931.0,112996.7391397682,TGFB1
77,KEGG_2019_Human,Leishmaniasis,1/74,0.0036999446830449,0.0102665548346894,0,0,19926.0,111574.38983110404,TGFB1
78,KEGG_2019_Human,Pancreatic cancer,1/75,0.0037499442041125,0.0102665548346894,0,0,19925.0,111301.33528642564,TGFB1
79,KEGG_2019_Human,Chronic myeloid leukemia,1/76,0.0037999437281752,0.0102665548346894,0,0,19924.0,111031.8499691117,TGFB1
80,KEGG_2019_Human,Hypertrophic cardiomyopathy (HCM),1/85,0.004249939567045,0.0102665548346894,0,0,19915.0,108752.83801948265,TGFB1
81,KEGG_2019_Human,Colorectal cancer,1/86,0.0042999391173866,0.0102665548346894,0,0,19914.0,108514.46102290176,TGFB1
82,KEGG_2019_Human,TGF-beta signaling pathway,1/90,0.0044999373439762,0.0102665548346894,0,0,19910.0,107587.50385474482,TGFB1
83,KEGG_2019_Human,Dilated cardiomyopathy (DCM),1/91,0.0045499369072032,0.0102665548346894,0,0,19909.0,107362.10783923086,TGFB1
84,KEGG_2019_Human,Rheumatoid arthritis,1/91,0.0045499369072032,0.0102665548346894,0,0,19909.0,107362.10783923086,TGFB1
85,KEGG_2019_Human,Amoebiasis,1/96,0.0047999347538706,0.0102665548346894,0,0,19904.0,106270.50039849174,TGFB1
86,KEGG_2019_Human,AGE-RAGE signaling pathway in diabetic complications,1/100,0.0049999330710556,0.0102665548346894,0,0,19900.0,105436.78197328727,TGFB1
87,KEGG_2019_Human,Chagas disease (American trypanosomiasis),1/103,0.0051499318302617,0.0102665548346894,0,0,19897.0,104832.7525292024,TGFB1
88,KEGG_2019_Human,Th17 cell differentiation,1/107,0.0053499302026925,0.0102665548346894,0,0,19893.0,104053.753408911,TGFB1
89,KEGG_2019_Human,Toxoplasmosis,1/113,0.0056499278191151,0.0102665548346894,0,0,19887.0,102937.34947211576,TGFB1
90,KEGG_2019_Human,Cell cycle,1/124,0.0061999236097501,0.0102665548346894,0,0,19876.0,101034.04709010696,TGFB1
91,KEGG_2019_Human,Osteoclast differentiation,1/127,0.0063499224962247,0.0102665548346894,0,0,19873.0,100543.72072014232,TGFB1
92,KEGG_2019_Human,Relaxin signaling pathway,1/130,0.0064999213952527,0.0102665548346894,0,0,19870.0,100064.62842845908,TGFB1
93,KEGG_2019_Human,FoxO signaling pathway,1/132,0.0065999206698993,0.0102665548346894,0,0,19868.0,99751.22090491928,TGFB1
94,KEGG_2019_Human,Gastric cancer,1/149,0.0074499147221605,0.0102665548346894,0,0,19851.0,97261.02051561224,TGFB1
95,KEGG_2019_Human,Non-alcoholic fatty liver disease (NAFLD),1/149,0.0074499147221605,0.0102665548346894,0,0,19851.0,97261.02051561224,TGFB1
96,KEGG_2019_Human,Cellular senescence,1/160,0.0079999110688441,0.0102665548346894,0,0,19840.0,95793.96509856998,TGFB1
97,KEGG_2019_Human,Hippo signaling pathway,1/160,0.0079999110688441,0.0102665548346894,0,0,19840.0,95793.96509856998,TGFB1
98,KEGG_2019_Human,Hepatitis B,1/163,0.0081499100978668,0.0102665548346894,0,0,19837.0,95410.9786681514,TGFB1
99,KEGG_2019_Human,Hepatocellular carcinoma,1/168,0.0083999085011095,0.0102665548346894,0,0,19832.0,94787.72752807094,TGFB1
100,KEGG_2019_Human,Tuberculosis,1/179,0.0089499050800561,0.0105481024157804,0,0,19821.0,93478.0629355712,TGFB1
101,KEGG_2019_Human,Proteoglycans in cancer,1/201,0.0100498985877989,0.0114360914964609,0,0,19799.0,91079.21596609056,TGFB1
102,KEGG_2019_Human,Human T-cell leukemia virus 1 infection,1/219,0.0109498935894162,0.0120448829483578,0,0,19781.0,89299.85161916987,TGFB1
103,KEGG_2019_Human,Cytokine-cytokine receptor interaction,1/294,0.0146998751759735,0.0152108085459522,0,0,19706.0,83157.67014793828,TGFB1
104,KEGG_2019_Human,MAPK signaling pathway,1/295,0.0147498749536506,0.0152108085459522,0,0,19705.0,83086.53988020132,TGFB1
105,KEGG_2019_Human,Pathways in cancer,1/530,0.0264998334376226,0.0264998334376226,0,0,19470.0,70688.10970701616,TGFB1
106,KEGG_2019_Human,Central carbon metabolism in cancer,1/65,0.003249949134407,0.0135665109458835,0,0,19935.0,114209.92613860144,KIT
107,KEGG_2019_Human,Acute myeloid leukemia,1/66,0.003299948626608,0.0135665109458835,0,0,19934.0,113899.85357353876,KIT
108,KEGG_2019_Human,Hematopoietic cell lineage,1/97,0.0048499343304706,0.0135665109458835,0,0,19903.0,106058.9096435903,KIT
109,KEGG_2019_Human,Melanogenesis,1/101,0.0050499326546803,0.0135665109458835,0,0,19899.0,105233.48101229242,KIT
110,KEGG_2019_Human,Breast cancer,1/147,0.0073499154017982,0.0135665109458835,0,0,19853.0,97539.10874372096,KIT
111,KEGG_2019_Human,Phospholipase D signaling pathway,1/148,0.007399915061391,0.0135665109458835,0,0,19852.0,97399.60470052566,KIT
112,KEGG_2019_Human,Rap1 signaling pathway,1/206,0.010299897173561,0.0159498489355705,0,0,19794.0,90569.849337325,KIT
113,KEGG_2019_Human,Ras signaling pathway,1/232,0.0115998901349604,0.0159498489355705,0,0,19768.0,88101.22480150245,KIT
114,KEGG_2019_Human,MAPK signaling pathway,1/295,0.0147498749536506,0.0180276249433508,0,0,19705.0,83086.53988020132,KIT
115,KEGG_2019_Human,PI3K-Akt signaling pathway,1/354,0.0176998626413668,0.0194698489055035,0,0,19646.0,79255.8617626126,KIT
116,KEGG_2019_Human,Pathways in cancer,1/530,0.0264998334376226,0.0264998334376226,0,0,19470.0,70688.10970701616,KIT
117,KEGG_2019_Human,Axon guidance,1/181,0.0090499044707863,0.0090499044707863,0,0,19819.0,93248.41634586031,PLXNC1
118,KEGG_2019_Human,Homologous recombination,1/41,0.0020499625466866,0.0040999250933733,0,0,19959.0,123544.88783416104,BRCC3
119,KEGG_2019_Human,NOD-like receptor signaling pathway,1/178,0.0088999053857096,0.0088999053857096,0,0,19822.0,93593.82745769851,BRCC3
120,KEGG_2019_Human,Primary bile acid biosynthesis,1/17,0.0008499797390404818,0.0026999437884725,0,0,19983.0,141285.76583697114,SCP2
121,KEGG_2019_Human,Biosynthesis of unsaturated fatty acids,1/27,0.0013499718942362,0.0026999437884725,0,0,19973.0,131975.02298599784,SCP2
122,KEGG_2019_Human,PPAR signaling pathway,1/74,0.0036999446830449,0.0041499404726918,0,0,19926.0,111574.38983110404,SCP2
123,KEGG_2019_Human,Peroxisome,1/83,0.0041499404726918,0.0041499404726918,0,0,19917.0,109237.99888847338,SCP2
124,KEGG_2019_Human,Hepatocellular carcinoma,1/168,0.0083999085011095,0.0083999085011095,0,0,19832.0,94787.72752807094,ARID2
125,KEGG_2019_Human,Drug metabolism,1/108,0.0053999298011749,0.0053999298011749,0,0,19892.0,103863.47861844616,FMO3
126,KEGG_2019_Human,Fatty acid biosynthesis,1/13,0.0006499833083207112,0.0019499499249621,0,0,19987.0,146675.87616784443,FASN
127,KEGG_2019_Human,AMPK signaling pathway,1/120,0.0059999251180858,0.0068499188797651,0,0,19880.0,101706.2448082016,FASN
128,KEGG_2019_Human,Insulin signaling pathway,1/137,0.0068499188797651,0.0068499188797651,0,0,19863.0,98987.62735269018,FASN
129,KEGG_2019_Human,Thyroid cancer,1/37,0.0018499650702878,0.0120748684703449,0,0,19963.0,125618.9446446357,TP53
130,KEGG_2019_Human,Ferroptosis,1/40,0.0019999631680592,0.0120748684703449,0,0,19960.0,124043.94523066044,TP53
131,KEGG_2019_Human,Bladder cancer,1/41,0.0020499625466866,0.0120748684703449,0,0,19959.0,123544.88783416104,TP53
132,KEGG_2019_Human,Amyotrophic lateral sclerosis (ALS),1/51,0.0025499566390179,0.0120748684703449,0,0,19949.0,119129.0228601236,TP53
133,KEGG_2019_Human,Endometrial cancer,1/58,0.0028999527887707,0.0120748684703449,0,0,19942.0,116522.31890946148,TP53
134,KEGG_2019_Human,Basal cell carcinoma,1/63,0.0031499501598827,0.0120748684703449,0,0,19937.0,114844.46974572667,TP53
135,KEGG_2019_Human,Mitophagy,1/65,0.003249949134407,0.0120748684703449,0,0,19935.0,114209.92613860144,TP53
136,KEGG_2019_Human,Central carbon metabolism in cancer,1/65,0.003249949134407,0.0120748684703449,0,0,19935.0,114209.92613860144,TP53
137,KEGG_2019_Human,Non-small cell lung cancer,1/66,0.003299948626608,0.0120748684703449,0,0,19934.0,113899.85357353876,TP53
138,KEGG_2019_Human,Melanoma,1/72,0.0035999456502131,0.0120748684703449,0,0,19928.0,112131.59838572376,TP53
139,KEGG_2019_Human,p53 signaling pathway,1/72,0.0035999456502131,0.0120748684703449,0,0,19928.0,112131.59838572376,TP53
140,KEGG_2019_Human,Pancreatic cancer,1/75,0.0037499442041125,0.0120748684703449,0,0,19925.0,111301.33528642564,TP53
141,KEGG_2019_Human,Glioma,1/75,0.0037499442041125,0.0120748684703449,0,0,19925.0,111301.33528642564,TP53
142,KEGG_2019_Human,Chronic myeloid leukemia,1/76,0.0037999437281752,0.0120748684703449,0,0,19924.0,111031.8499691117,TP53
143,KEGG_2019_Human,Colorectal cancer,1/86,0.0042999391173866,0.0120748684703449,0,0,19914.0,108514.46102290176,TP53
144,KEGG_2019_Human,Small cell lung cancer,1/93,0.0046499360391879,0.0120748684703449,0,0,19907.0,106918.54242106884,TP53
145,KEGG_2019_Human,Prostate cancer,1/97,0.0048499343304706,0.0120748684703449,0,0,19903.0,106058.9096435903,TP53
146,KEGG_2019_Human,Longevity regulating pathway,1/102,0.0050999322416682,0.0120748684703449,0,0,19898.0,105032.15064717118,TP53
147,KEGG_2019_Human,Thyroid hormone signaling pathway,1/116,0.0057999266512085,0.0120748684703449,0,0,19884.0,102400.8105961506,TP53
148,KEGG_2019_Human,Sphingolipid signaling pathway,1/119,0.0059499254985137,0.0120748684703449,0,0,19881.0,101877.73080211312,TP53
149,KEGG_2019_Human,Neurotrophin signaling pathway,1/119,0.0059499254985137,0.0120748684703449,0,0,19881.0,101877.73080211312,TP53
150,KEGG_2019_Human,Cell cycle,1/124,0.0061999236097501,0.0120748684703449,0,0,19876.0,101034.04709010696,TP53
151,KEGG_2019_Human,Measles,1/138,0.0068999185254481,0.0120748684703449,0,0,19862.0,98838.19160389496,TP53
152,KEGG_2019_Human,Fluid shear stress and atherosclerosis,1/139,0.006949918172816,0.0120748684703449,0,0,19861.0,98689.81333375497,TP53
153,KEGG_2019_Human,Apoptosis,1/143,0.0071499167770442,0.0120748684703449,0,0,19857.0,98106.57763600958,TP53
154,KEGG_2019_Human,Breast cancer,1/147,0.0073499154017982,0.0120748684703449,0,0,19853.0,97539.10874372096,TP53
155,KEGG_2019_Human,Gastric cancer,1/149,0.0074499147221605,0.0120748684703449,0,0,19851.0,97261.02051561224,TP53
156,KEGG_2019_Human,Hepatitis C,1/155,0.0077499127120574,0.0120748684703449,0,0,19845.0,96448.16254952336,TP53
157,KEGG_2019_Human,Wnt signaling pathway,1/158,0.0078999117225733,0.0120748684703449,0,0,19842.0,96053.2110949472,TP53
158,KEGG_2019_Human,Cellular senescence,1/160,0.0079999110688441,0.0120748684703449,0,0,19840.0,95793.96509856998,TP53
159,KEGG_2019_Human,Hepatitis B,1/163,0.0081499100978668,0.0120748684703449,0,0,19837.0,95410.9786681514,TP53
160,KEGG_2019_Human,Hepatocellular carcinoma,1/168,0.0083999085011095,0.0120748684703449,0,0,19832.0,94787.72752807094,TP53
161,KEGG_2019_Human,Kaposi sarcoma-associated herpesvirus infection,1/186,0.0092999029651357,0.0121656667115461,0,0,19814.0,92684.96451050608,TP53
162,KEGG_2019_Human,Transcriptional misregulation in cancer,1/186,0.0092999029651357,0.0121656667115461,0,0,19814.0,92684.96451050608,TP53
163,KEGG_2019_Human,Huntington disease,1/193,0.0096499008972596,0.0121656667115461,0,0,19807.0,91920.47679471428,TP53
164,KEGG_2019_Human,Epstein-Barr virus infection,1/201,0.0100498985877989,0.0121656667115461,0,0,19799.0,91079.21596609056,TP53
165,KEGG_2019_Human,Proteoglycans in cancer,1/201,0.0100498985877989,0.0121656667115461,0,0,19799.0,91079.21596609056,TP53
166,KEGG_2019_Human,Viral carcinogenesis,1/201,0.0100498985877989,0.0121656667115461,0,0,19799.0,91079.21596609056,TP53
167,KEGG_2019_Human,Human T-cell leukemia virus 1 infection,1/219,0.0109498935894162,0.0129152591054653,0,0,19781.0,89299.85161916987,TP53
168,KEGG_2019_Human,Human cytomegalovirus infection,1/225,0.0112498919790339,0.012937375775889,0,0,19775.0,88738.27077557483,TP53
169,KEGG_2019_Human,MAPK signaling pathway,1/295,0.0147498749536506,0.0163736715972468,0,0,19705.0,83086.53988020132,TP53
170,KEGG_2019_Human,MicroRNAs in cancer,1/299,0.0149498740670514,0.0163736715972468,0,0,19701.0,82804.33538735632,TP53
171,KEGG_2019_Human,Human papillomavirus infection,1/330,0.0164998674589645,0.0176510210026132,0,0,19670.0,80733.60565076157,TP53
172,KEGG_2019_Human,PI3K-Akt signaling pathway,1/354,0.0176998626413668,0.0185044018523381,0,0,19646.0,79255.8617626126,TP53
173,KEGG_2019_Human,Herpes simplex virus 1 infection,1/492,0.0245998389796247,0.0251465020680608,0,0,19508.0,72277.44006442746,TP53
174,KEGG_2019_Human,Pathways in cancer,1/530,0.0264998334376226,0.0264998334376226,0,0,19470.0,70688.10970701616,TP53
175,KEGG_2019_Human,Shigellosis,1/65,0.003249949134407,0.0073998893660899,0,0,19935.0,114209.92613860144,DOCK1
176,KEGG_2019_Human,Bacterial invasion of epithelial cells,1/74,0.0036999446830449,0.0073998893660899,0,0,19926.0,111574.38983110404,DOCK1
177,KEGG_2019_Human,Focal adhesion,1/199,0.0099498991610159,0.0106998949514067,0,0,19801.0,91286.4288690606,DOCK1
178,KEGG_2019_Human,Regulation of actin cytoskeleton,1/214,0.0106998949514067,0.0106998949514067,0,0,19786.0,89779.39753374986,DOCK1
179,KEGG_2019_Human,Thyroid hormone signaling pathway,1/116,0.0057999266512085,0.0057999266512085,0,0,19884.0,102400.8105961506,MED12
180,KEGG_2019_Human,Non-homologous end-joining,1/13,0.0006499833083207112,0.0006499833083207112,0,0,19987.0,146675.87616784443,XRCC6
181,KEGG_2019_Human,TGF-beta signaling pathway,1/90,0.0044999373439762,0.0108598853649436,0,0,19910.0,107587.50385474482,BMPR1B
182,KEGG_2019_Human,Fluid shear stress and atherosclerosis,1/139,0.006949918172816,0.0108598853649436,0,0,19861.0,98689.81333375497,BMPR1B
183,KEGG_2019_Human,Signaling pathways regulating pluripotency of stem cells,1/139,0.006949918172816,0.0108598853649436,0,0,19861.0,98689.81333375497,BMPR1B
184,KEGG_2019_Human,Hippo signaling pathway,1/160,0.0079999110688441,0.0108598853649436,0,0,19840.0,95793.96509856998,BMPR1B
185,KEGG_2019_Human,Axon guidance,1/181,0.0090499044707863,0.0108598853649436,0,0,19819.0,93248.41634586031,BMPR1B
186,KEGG_2019_Human,Cytokine-cytokine receptor interaction,1/294,0.0146998751759735,0.0146998751759735,0,0,19706.0,83157.67014793828,BMPR1B
187,KEGG_2019_Human,Transcriptional misregulation in cancer,1/186,0.0092999029651357,0.0092999029651357,0,0,19814.0,92684.96451050608,KDM6A
188,KEGG_2019_Human,Lysine degradation,1/59,0.0029499522555206,0.0029499522555206,0,0,19941.0,116175.59385530632,KMT2C
189,KEGG_2019_Human,RNA polymerase,1/31,0.0015499690656704,0.0030999381313408,0,0,19969.0,129189.85098816035,POLR2B
190,KEGG_2019_Human,Huntington disease,1/193,0.0096499008972596,0.0096499008972596,0,0,19807.0,91920.47679471428,POLR2B
191,KEGG_2019_Human,Cortisol synthesis and secretion,1/65,0.003249949134407,0.0092999029651357,0,0,19935.0,114209.92613860144,PBX1
192,KEGG_2019_Human,Cushing syndrome,1/155,0.0077499127120574,0.0092999029651357,0,0,19845.0,96448.16254952336,PBX1
193,KEGG_2019_Human,Transcriptional misregulation in cancer,1/186,0.0092999029651357,0.0092999029651357,0,0,19814.0,92684.96451050608,PBX1
194,KEGG_2019_Human,Lysine degradation,1/59,0.0029499522555206,0.0058999045110413,0,0,19941.0,116175.59385530632,EZH2
195,KEGG_2019_Human,MicroRNAs in cancer,1/299,0.0149498740670514,0.0149498740670514,0,0,19701.0,82804.33538735632,EZH2
196,KEGG_2019_Human,RNA degradation,1/79,0.0039499423167337,0.0039499423167337,0,0,19921.0,110243.89578070649,DDX6
197,KEGG_2019_Human,Amino sugar and nucleotide sugar metabolism,1/48,0.0023999583567988,0.0023999583567988,0,0,19952.0,120356.5272753826,CHIT1
198,KEGG_2019_Human,Steroid biosynthesis,1/19,0.00094997806231055,0.0028499341869316,0,0,19981.0,139049.2109571672,CYP27B1
199,KEGG_2019_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.0052999306076525,0.0079498959114788,0,0,19894.0,104245.78450366124,CYP27B1
200,KEGG_2019_Human,Tuberculosis,1/179,0.0089499050800561,0.0089499050800561,0,0,19821.0,93478.0629355712,CYP27B1
201,KEGG_2019_Human,Protein digestion and absorption,1/90,0.0044999373439762,0.0044999373439762,0,0,19910.0,107587.50385474482,COL22A1
