"Name","BQ Project","BQ Dataset","BQ Table","Full ID","Program","Category","Reference Genome","Source","Data Type","Exp. Strategy","Status","Rows","Created","Example Joins","Description","Labels","Fields"
"AML EX VIVO DRUG RESPONSE: COMBINATION TREATMENT - PHOSPHOPROTEOME","isb-cgc-bq","CPTAC","quant_phosphoproteome_AML_ex_vivo_drug_response_combination_treatment_pdc_current","`isb-cgc-bq.CPTAC.quant_phosphoproteome_AML_ex_vivo_drug_response_combination_treatment_pdc_current`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","157,377","9/23/2022","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Combination Treatment - Phosphoproteome study (PDC Study ID: PDC000403) was extracted using PDC API V2.10 in August 2022. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"AML EX VIVO DRUG RESPONSE: COMBINATION TREATMENT - PHOSPHOPROTEOME V2_10 VERSIONED","isb-cgc-bq","CPTAC_versioned","quant_phosphoproteome_AML_ex_vivo_drug_response_combination_treatment_pdc_V2_10","`isb-cgc-bq.CPTAC_versioned.quant_phosphoproteome_AML_ex_vivo_drug_response_combination_treatment_pdc_V2_10`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","157,377","9/23/2022","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Combination Treatment - Phosphoproteome study (PDC Study ID: PDC000403) was extracted using PDC API V2.10 in August 2022. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"AML EX VIVO DRUG RESPONSE: COMBINATION TREATMENT - PROTEOME","isb-cgc-bq","CPTAC","quant_proteome_AML_ex_vivo_drug_response_combination_treatment_pdc_current","`isb-cgc-bq.CPTAC.quant_proteome_AML_ex_vivo_drug_response_combination_treatment_pdc_current`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PROTEIN EXPRESSION","","CURRENT","120,422","2/27/2023","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Combination Treatment - Proteome study (PDC Study ID: PDC000402) was extracted using PDC API V2.16 in February 2023. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:protein_expression, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, gene_id, gene_symbol, NCBI_gene_id, authority, authority_gene_id, gene_description, organism, chromosome, locus, uniprotkb_id, uniprotkb_ids, proteins, assays,"
"AML EX VIVO DRUG RESPONSE: COMBINATION TREATMENT - PROTEOME V2_16 VERSIONED","isb-cgc-bq","CPTAC_versioned","quant_proteome_AML_ex_vivo_drug_response_combination_treatment_pdc_V2_16","`isb-cgc-bq.CPTAC_versioned.quant_proteome_AML_ex_vivo_drug_response_combination_treatment_pdc_V2_16`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PROTEIN EXPRESSION","","CURRENT","120,422","2/27/2023","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Combination Treatment - Proteome study (PDC Study ID: PDC000402) was extracted using PDC API V2.16 in February 2023. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:protein_expression, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, gene_id, gene_symbol, NCBI_gene_id, authority, authority_gene_id, gene_description, organism, chromosome, locus, uniprotkb_id, uniprotkb_ids, proteins, assays,"
"AML EX VIVO DRUG RESPONSE: PRIMARY COHORT - PHOSPHOPROTEOME","isb-cgc-bq","CPTAC","quant_phosphoproteome_AML_ex_vivo_drug_response_primary_cohort_pdc_current","`isb-cgc-bq.CPTAC.quant_phosphoproteome_AML_ex_vivo_drug_response_primary_cohort_pdc_current`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","98,532","9/23/2022","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Primary Cohort - Phosphoproteome study (PDC Study ID: PDC000399) was extracted using PDC API V2.10 in August 2022. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"AML EX VIVO DRUG RESPONSE: PRIMARY COHORT - PHOSPHOPROTEOME V2_10 VERSIONED","isb-cgc-bq","CPTAC_versioned","quant_phosphoproteome_AML_ex_vivo_drug_response_primary_cohort_pdc_V2_10","`isb-cgc-bq.CPTAC_versioned.quant_phosphoproteome_AML_ex_vivo_drug_response_primary_cohort_pdc_V2_10`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","98,532","9/23/2022","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Primary Cohort - Phosphoproteome study (PDC Study ID: PDC000399) was extracted using PDC API V2.10 in August 2022. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"AML EX VIVO DRUG RESPONSE: PRIMARY COHORT - PROTEOME","isb-cgc-bq","CPTAC","quant_proteome_AML_ex_vivo_drug_response_primary_cohort_pdc_current","`isb-cgc-bq.CPTAC.quant_proteome_AML_ex_vivo_drug_response_primary_cohort_pdc_current`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PROTEIN EXPRESSION","","CURRENT","119,255","2/27/2023","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Primary Cohort - Proteome study (PDC Study ID: PDC000398) was extracted using PDC API V2.16 in February 2023. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:protein_expression, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, gene_id, gene_symbol, NCBI_gene_id, authority, authority_gene_id, gene_description, organism, chromosome, locus, uniprotkb_id, uniprotkb_ids, proteins, assays,"
"AML EX VIVO DRUG RESPONSE: PRIMARY COHORT - PROTEOME V2_16 VERSIONED","isb-cgc-bq","CPTAC_versioned","quant_proteome_AML_ex_vivo_drug_response_primary_cohort_pdc_V2_16","`isb-cgc-bq.CPTAC_versioned.quant_proteome_AML_ex_vivo_drug_response_primary_cohort_pdc_V2_16`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PROTEIN EXPRESSION","","CURRENT","119,255","2/27/2023","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Primary Cohort - Proteome study (PDC Study ID: PDC000398) was extracted using PDC API V2.16 in February 2023. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:protein_expression, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, gene_id, gene_symbol, NCBI_gene_id, authority, authority_gene_id, gene_description, organism, chromosome, locus, uniprotkb_id, uniprotkb_ids, proteins, assays,"
"AML EX VIVO DRUG RESPONSE: SORAFENIB TREATMENT - PHOSPHOPROTEOME","isb-cgc-bq","CPTAC","quant_phosphoproteome_AML_ex_vivo_drug_response_sorafenib_treatment_pdc_current","`isb-cgc-bq.CPTAC.quant_phosphoproteome_AML_ex_vivo_drug_response_sorafenib_treatment_pdc_current`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","136,368","9/23/2022","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Sorafenib Treatment - Phosphoproteome study (PDC Study ID: PDC000401) was extracted using PDC API V2.10 in August 2022. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"AML EX VIVO DRUG RESPONSE: SORAFENIB TREATMENT - PHOSPHOPROTEOME V2_10 VERSIONED","isb-cgc-bq","CPTAC_versioned","quant_phosphoproteome_AML_ex_vivo_drug_response_sorafenib_treatment_pdc_V2_10","`isb-cgc-bq.CPTAC_versioned.quant_phosphoproteome_AML_ex_vivo_drug_response_sorafenib_treatment_pdc_V2_10`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","136,368","9/23/2022","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Sorafenib Treatment - Phosphoproteome study (PDC Study ID: PDC000401) was extracted using PDC API V2.10 in August 2022. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"AML EX VIVO DRUG RESPONSE: SORAFENIB TREATMENT - PROTEOME","isb-cgc-bq","CPTAC","quant_proteome_AML_ex_vivo_drug_response_sorafenib_treatment_pdc_current","`isb-cgc-bq.CPTAC.quant_proteome_AML_ex_vivo_drug_response_sorafenib_treatment_pdc_current`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PROTEIN EXPRESSION","","CURRENT","103,728","2/27/2023","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Sorafenib Treatment - Proteome study (PDC Study ID: PDC000400) was extracted using PDC API V2.16 in February 2023. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:protein_expression, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, gene_id, gene_symbol, NCBI_gene_id, authority, authority_gene_id, gene_description, organism, chromosome, locus, uniprotkb_id, uniprotkb_ids, proteins, assays,"
"AML EX VIVO DRUG RESPONSE: SORAFENIB TREATMENT - PROTEOME V2_16 VERSIONED","isb-cgc-bq","CPTAC_versioned","quant_proteome_AML_ex_vivo_drug_response_sorafenib_treatment_pdc_V2_16","`isb-cgc-bq.CPTAC_versioned.quant_proteome_AML_ex_vivo_drug_response_sorafenib_treatment_pdc_V2_16`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PROTEIN EXPRESSION","","CURRENT","103,728","2/27/2023","","Normalized log2ratio protein abundance estimates for the AML Ex Vivo Drug Response - Sorafenib Treatment - Proteome study (PDC Study ID: PDC000400) was extracted using PDC API V2.16 in February 2023. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:protein_expression, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, gene_id, gene_symbol, NCBI_gene_id, authority, authority_gene_id, gene_description, organism, chromosome, locus, uniprotkb_id, uniprotkb_ids, proteins, assays,"
"AML GILTERITINIB RESISTANCE PHOSPHOPROTEOME","isb-cgc-bq","CPTAC","quant_phosphoproteome_AML_gilteritinib_resistance_pdc_current","`isb-cgc-bq.CPTAC.quant_phosphoproteome_AML_gilteritinib_resistance_pdc_current`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","323,960","9/23/2022","","Normalized log2ratio protein abundance estimates for the AML Gilteritinib Resistance -  Phosphoproteome study (PDC Study ID: PDC000318) was extracted using PDC API V2.10 in August 2022. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"AML GILTERITINIB RESISTANCE PHOSPHOPROTEOME V2_10 VERSIONED","isb-cgc-bq","CPTAC_versioned","quant_phosphoproteome_AML_gilteritinib_resistance_pdc_V2_10","`isb-cgc-bq.CPTAC_versioned.quant_phosphoproteome_AML_gilteritinib_resistance_pdc_V2_10`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","323,960","9/23/2022","","Normalized log2ratio protein abundance estimates for the AML Gilteritinib Resistance -  Phosphoproteome study (PDC Study ID: PDC000318) was extracted using PDC API V2.10 in August 2022. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"AML GILTERITINIB RESISTANCE PROTEOME","isb-cgc-bq","CPTAC","quant_proteome_AML_gilteritinib_resistance_pdc_current","`isb-cgc-bq.CPTAC.quant_proteome_AML_gilteritinib_resistance_pdc_current`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PROTEIN EXPRESSION","","CURRENT","262,440","2/27/2023","","Normalized log2ratio protein abundance estimates for the AML Gilteritinib Resistance -  Proteome study (PDC Study ID: PDC000315) was extracted using PDC API V2.16 in February 2023. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:protein_expression, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, gene_id, gene_symbol, NCBI_gene_id, authority, authority_gene_id, gene_description, organism, chromosome, locus, uniprotkb_id, uniprotkb_ids, proteins, assays,"
"AML GILTERITINIB RESISTANCE PROTEOME V2_16 VERSIONED","isb-cgc-bq","CPTAC_versioned","quant_proteome_AML_gilteritinib_resistance_pdc_V2_16","`isb-cgc-bq.CPTAC_versioned.quant_proteome_AML_gilteritinib_resistance_pdc_V2_16`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PROTEIN EXPRESSION","","CURRENT","262,440","2/27/2023","","Normalized log2ratio protein abundance estimates for the AML Gilteritinib Resistance -  Proteome study (PDC Study ID: PDC000315) was extracted using PDC API V2.16 in February 2023. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:protein_expression, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, gene_id, gene_symbol, NCBI_gene_id, authority, authority_gene_id, gene_description, organism, chromosome, locus, uniprotkb_id, uniprotkb_ids, proteins, assays,"
"AML GILTERITINIB TIMECOURSE PHOSPHOPROTEOME","isb-cgc-bq","CPTAC","quant_phosphoproteome_AML_gilteritinib_timecourse_pdc_current","`isb-cgc-bq.CPTAC.quant_phosphoproteome_AML_gilteritinib_timecourse_pdc_current`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","333,090","9/23/2022","","Normalized log2ratio protein abundance estimates for the AML Gilteritinib TimeCourse -  Phosphoproteome study (PDC Study ID: PDC000319) was extracted using PDC API V2.10 in August 2022. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"AML GILTERITINIB TIMECOURSE PHOSPHOPROTEOME V2_10 VERSIONED","isb-cgc-bq","CPTAC_versioned","quant_phosphoproteome_AML_gilteritinib_timecourse_pdc_V2_10","`isb-cgc-bq.CPTAC_versioned.quant_phosphoproteome_AML_gilteritinib_timecourse_pdc_V2_10`","CPTAC3","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","333,090","9/23/2022","","Normalized log2ratio protein abundance estimates for the AML Gilteritinib TimeCourse -  Phosphoproteome study (PDC Study ID: PDC000319) was extracted using PDC API V2.10 in August 2022. These data are part of the CPTAC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:cptac3, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
